|dates|Rush_Kansas_UnitedStates.JHU_ConfirmedCases.data|Rush_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Rush_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Rush_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Rush_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Rush_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|5648.0|0|161.0|0|0.0|0
0|2020-05-28|5648.0|0|161.0|0|0.0|0
0|2020-05-29|5648.0|0|161.0|0|0.0|0
0|2020-05-30|5648.0|0|161.0|0|0.0|0
