|dates|Jefferson_Colorado_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|3.0|0|0.0|0|0.0|0
0|2020-03-12|4.0|0|0.0|0|0.0|0
0|2020-03-13|7.0|0|0.0|0|0.0|0
0|2020-03-14|9.0|0|0.0|0|0.0|0
0|2020-03-15|9.0|0|0.0|0|0.0|0
0|2020-03-16|12.0|0|0.0|0|0.0|0
0|2020-03-17|13.0|0|0.0|0|0.0|0
0|2020-03-18|25.0|0|0.0|0|0.0|0
0|2020-03-19|25.0|0|0.0|0|0.0|0
0|2020-03-20|37.0|0|0.0|0|0.0|0
0|2020-03-21|43.0|0|0.0|0|0.0|0
0|2020-03-22|51.0|0|0.0|0|0.0|0
0|2020-03-23|55.0|0|0.0|0|0.0|0
0|2020-03-24|55.0|0|0.0|0|0.0|0
0|2020-03-25|93.0|0|2.0|0|0.0|0
0|2020-03-26|131.0|0|2.0|0|0.0|0
0|2020-03-27|131.0|0|2.0|0|0.0|0
0|2020-03-28|158.0|0|5.0|0|0.0|0
0|2020-03-29|213.0|0|5.0|0|0.0|0
0|2020-03-30|213.0|0|5.0|0|0.0|0
0|2020-03-31|304.0|0|6.0|0|0.0|0
0|2020-04-01|304.0|0|6.0|0|0.0|0
0|2020-04-02|356.0|0|7.0|0|0.0|0
0|2020-04-03|385.0|0|9.0|0|0.0|0
0|2020-04-04|440.0|0|13.0|0|0.0|0
0|2020-04-05|519.0|0|17.0|0|0.0|0
0|2020-04-06|540.0|0|18.0|0|0.0|0
0|2020-04-07|579.0|0|18.0|0|0.0|0
0|2020-04-08|610.0|0|23.0|0|0.0|0
0|2020-04-09|610.0|0|23.0|0|0.0|0
0|2020-04-10|660.0|0|23.0|0|0.0|0
0|2020-04-11|683.0|0|25.0|0|0.0|0
0|2020-04-12|763.0|0|29.0|0|0.0|0
0|2020-04-13|787.0|0|30.0|0|0.0|0
0|2020-04-14|809.0|0|31.0|0|0.0|0
0|2020-04-15|809.0|0|31.0|0|0.0|0
0|2020-04-16|837.0|0|32.0|0|0.0|0
0|2020-04-17|860.0|0|33.0|0|0.0|0
0|2020-04-18|888.0|0|35.0|0|0.0|0
0|2020-04-19|957.0|0|36.0|0|0.0|0
0|2020-04-20|957.0|0|36.0|0|0.0|0
0|2020-04-21|1011.0|0|40.0|0|0.0|0
0|2020-04-22|1064.0|0|43.0|0|0.0|0
0|2020-04-23|1075.0|0|53.0|0|0.0|0
0|2020-04-24|1157.0|0|61.0|0|0.0|0
0|2020-04-25|1236.0|0|61.0|0|0.0|0
0|2020-04-26|1265.0|0|61.0|0|0.0|0
0|2020-04-27|1276.0|0|65.0|0|0.0|0
0|2020-04-28|1298.0|0|68.0|0|0.0|0
0|2020-04-29|1314.0|0|73.0|0|0.0|0
0|2020-04-30|1338.0|0|73.0|0|0.0|0
0|2020-05-01|1373.0|0|80.0|0|0.0|0
0|2020-05-02|1384.0|0|81.0|0|0.0|0
0|2020-05-03|1405.0|0|83.0|0|0.0|0
0|2020-05-04|1431.0|0|85.0|0|0.0|0
0|2020-05-05|1466.0|0|88.0|0|0.0|0
0|2020-05-06|1507.0|0|87.0|0|0.0|0
0|2020-05-07|1542.0|0|90.0|0|0.0|0
0|2020-05-08|1574.0|0|93.0|0|0.0|0
0|2020-05-09|1627.0|0|94.0|0|0.0|0
0|2020-05-10|1649.0|0|94.0|0|0.0|0
0|2020-05-11|1649.0|0|94.0|0|0.0|0
0|2020-05-12|1678.0|0|97.0|0|0.0|0
0|2020-05-13|1716.0|0|105.0|0|0.0|0
