|dates|ColonialHeights_Virginia_UnitedStates.JHU_ConfirmedCases.data|ColonialHeights_Virginia_UnitedStates.JHU_ConfirmedCases.missing|ColonialHeights_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|ColonialHeights_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|ColonialHeights_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|ColonialHeights_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|0.0|0|0.0|0|0.0|0
0|2020-03-28|0.0|0|0.0|0|0.0|0
0|2020-03-29|0.0|0|0.0|0|0.0|0
0|2020-03-30|0.0|0|0.0|0|0.0|0
0|2020-03-31|0.0|0|0.0|0|0.0|0
0|2020-04-01|0.0|0|0.0|0|0.0|0
0|2020-04-02|0.0|0|0.0|0|0.0|0
0|2020-04-03|0.0|0|0.0|0|0.0|0
0|2020-04-04|0.0|0|0.0|0|0.0|0
0|2020-04-05|0.0|0|0.0|0|0.0|0
0|2020-04-06|0.0|0|0.0|0|0.0|0
0|2020-04-07|0.0|0|0.0|0|0.0|0
0|2020-04-08|1.0|0|0.0|0|0.0|0
0|2020-04-09|2.0|0|0.0|0|0.0|0
0|2020-04-10|4.0|0|0.0|0|0.0|0
0|2020-04-11|6.0|0|0.0|0|0.0|0
0|2020-04-12|6.0|0|0.0|0|0.0|0
0|2020-04-13|10.0|0|0.0|0|0.0|0
0|2020-04-14|16.0|0|0.0|0|0.0|0
0|2020-04-15|17.0|0|0.0|0|0.0|0
0|2020-04-16|18.0|0|0.0|0|0.0|0
0|2020-04-17|19.0|0|0.0|0|0.0|0
0|2020-04-18|23.0|0|0.0|0|0.0|0
0|2020-04-19|23.0|0|0.0|0|0.0|0
0|2020-04-20|26.0|0|0.0|0|0.0|0
0|2020-04-21|36.0|0|0.0|0|0.0|0
0|2020-04-22|37.0|0|2.0|0|0.0|0
0|2020-04-23|41.0|0|2.0|0|0.0|0
0|2020-04-24|41.0|0|3.0|0|0.0|0
0|2020-04-25|43.0|0|3.0|0|0.0|0
0|2020-04-26|45.0|0|3.0|0|0.0|0
0|2020-04-27|45.0|0|3.0|0|0.0|0
0|2020-04-28|47.0|0|4.0|0|0.0|0
0|2020-04-29|49.0|0|4.0|0|0.0|0
0|2020-04-30|54.0|0|5.0|0|0.0|0
0|2020-05-01|54.0|0|5.0|0|0.0|0
0|2020-05-02|57.0|0|5.0|0|0.0|0
0|2020-05-03|57.0|0|6.0|0|0.0|0
0|2020-05-04|57.0|0|6.0|0|0.0|0
0|2020-05-05|58.0|0|6.0|0|0.0|0
0|2020-05-06|58.0|0|6.0|0|0.0|0
0|2020-05-07|64.0|0|6.0|0|0.0|0
0|2020-05-08|65.0|0|6.0|0|0.0|0
0|2020-05-09|65.0|0|6.0|0|0.0|0
0|2020-05-10|66.0|0|6.0|0|0.0|0
0|2020-05-11|66.0|0|6.0|0|0.0|0
0|2020-05-12|67.0|0|6.0|0|0.0|0
0|2020-05-13|71.0|0|7.0|0|0.0|0
