|dates|Polk_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Polk_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Polk_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Polk_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Polk_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Polk_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|10.0|0|0.0|0|0.0|0
0|2020-05-28|10.0|0|0.0|0|0.0|0
0|2020-05-29|10.0|0|0.0|0|0.0|0
0|2020-05-30|10.0|0|0.0|0|0.0|0
