|dates|Garden_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Garden_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Garden_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Garden_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Garden_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Garden_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|6373.0|0|78.0|0|0.0|0
0|2020-05-15|6373.0|0|78.0|0|0.0|0
0|2020-05-16|6373.0|0|78.0|0|0.0|0
