|dates|Poinsett_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Poinsett_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Poinsett_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Poinsett_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Poinsett_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Poinsett_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|31.0|0|2.0|0|0.0|0
0|2020-05-28|31.0|0|2.0|0|0.0|0
0|2020-05-29|31.0|0|2.0|0|0.0|0
0|2020-05-30|31.0|0|2.0|0|0.0|0
