|dates|Adams_Washington_UnitedStates.JHU_ConfirmedCases.data|Adams_Washington_UnitedStates.JHU_ConfirmedCases.missing|Adams_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Adams_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Adams_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Adams_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|1.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|3.0|0|0.0|0|0.0|0
0|2020-03-28|5.0|0|0.0|0|0.0|0
0|2020-03-29|5.0|0|0.0|0|0.0|0
0|2020-03-30|7.0|0|0.0|0|0.0|0
0|2020-03-31|13.0|0|0.0|0|0.0|0
0|2020-04-01|14.0|0|0.0|0|0.0|0
0|2020-04-02|20.0|0|0.0|0|0.0|0
0|2020-04-03|20.0|0|0.0|0|0.0|0
0|2020-04-04|20.0|0|0.0|0|0.0|0
0|2020-04-05|23.0|0|0.0|0|0.0|0
0|2020-04-06|26.0|0|0.0|0|0.0|0
0|2020-04-07|27.0|0|0.0|0|0.0|0
0|2020-04-08|29.0|0|0.0|0|0.0|0
0|2020-04-09|30.0|0|0.0|0|0.0|0
0|2020-04-10|30.0|0|0.0|0|0.0|0
0|2020-04-11|30.0|0|0.0|0|0.0|0
0|2020-04-12|36.0|0|0.0|0|0.0|0
0|2020-04-13|37.0|0|0.0|0|0.0|0
0|2020-04-14|39.0|0|0.0|0|0.0|0
0|2020-04-15|39.0|0|0.0|0|0.0|0
0|2020-04-16|40.0|0|0.0|0|0.0|0
0|2020-04-17|40.0|0|0.0|0|0.0|0
0|2020-04-18|40.0|0|0.0|0|0.0|0
0|2020-04-19|41.0|0|0.0|0|0.0|0
0|2020-04-20|41.0|0|0.0|0|0.0|0
0|2020-04-21|43.0|0|0.0|0|0.0|0
0|2020-04-22|44.0|0|0.0|0|0.0|0
0|2020-04-23|45.0|0|0.0|0|0.0|0
0|2020-04-24|45.0|0|0.0|0|0.0|0
0|2020-04-25|46.0|0|0.0|0|0.0|0
0|2020-04-26|46.0|0|0.0|0|0.0|0
0|2020-04-27|46.0|0|0.0|0|0.0|0
0|2020-04-28|46.0|0|0.0|0|0.0|0
0|2020-04-29|47.0|0|0.0|0|0.0|0
0|2020-04-30|47.0|0|0.0|0|0.0|0
0|2020-05-01|47.0|0|0.0|0|0.0|0
0|2020-05-02|48.0|0|0.0|0|0.0|0
0|2020-05-03|48.0|0|0.0|0|0.0|0
0|2020-05-04|48.0|0|0.0|0|0.0|0
0|2020-05-05|48.0|0|0.0|0|0.0|0
0|2020-05-06|49.0|0|0.0|0|0.0|0
0|2020-05-07|49.0|0|0.0|0|0.0|0
0|2020-05-08|49.0|0|0.0|0|0.0|0
0|2020-05-09|49.0|0|0.0|0|0.0|0
0|2020-05-10|49.0|0|0.0|0|0.0|0
0|2020-05-11|49.0|0|0.0|0|0.0|0
0|2020-05-12|50.0|0|0.0|0|0.0|0
0|2020-05-13|50.0|0|0.0|0|0.0|0
