|dates|Spokane_Washington_UnitedStates.JHU_ConfirmedCases.data|Spokane_Washington_UnitedStates.JHU_ConfirmedCases.missing|Spokane_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Spokane_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Spokane_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Spokane_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|3.0|0|0.0|0|0.0|0
0|2020-03-15|3.0|0|0.0|0|0.0|0
0|2020-03-16|3.0|0|0.0|0|0.0|0
0|2020-03-17|4.0|0|0.0|0|0.0|0
0|2020-03-18|5.0|0|0.0|0|0.0|0
0|2020-03-19|9.0|0|0.0|0|0.0|0
0|2020-03-20|11.0|0|0.0|0|0.0|0
0|2020-03-21|16.0|0|0.0|0|0.0|0
0|2020-03-22|20.0|0|0.0|0|0.0|0
0|2020-03-23|20.0|0|0.0|0|0.0|0
0|2020-03-24|29.0|0|0.0|0|0.0|0
0|2020-03-25|33.0|0|0.0|0|0.0|0
0|2020-03-26|67.0|0|0.0|0|0.0|0
0|2020-03-27|83.0|0|0.0|0|0.0|0
0|2020-03-28|108.0|0|2.0|0|0.0|0
0|2020-03-29|108.0|0|2.0|0|0.0|0
0|2020-03-30|136.0|0|4.0|0|0.0|0
0|2020-03-31|136.0|0|4.0|0|0.0|0
0|2020-04-01|158.0|0|5.0|0|0.0|0
0|2020-04-02|182.0|0|5.0|0|0.0|0
0|2020-04-03|194.0|0|7.0|0|0.0|0
0|2020-04-04|209.0|0|10.0|0|0.0|0
0|2020-04-05|219.0|0|11.0|0|0.0|0
0|2020-04-06|222.0|0|12.0|0|0.0|0
0|2020-04-07|222.0|0|12.0|0|0.0|0
0|2020-04-08|239.0|0|13.0|0|0.0|0
0|2020-04-09|246.0|0|14.0|0|0.0|0
0|2020-04-10|251.0|0|17.0|0|0.0|0
0|2020-04-11|251.0|0|14.0|0|0.0|0
0|2020-04-12|274.0|0|14.0|0|0.0|0
0|2020-04-13|276.0|0|15.0|0|0.0|0
0|2020-04-14|276.0|0|15.0|0|0.0|0
0|2020-04-15|278.0|0|17.0|0|0.0|0
0|2020-04-16|286.0|0|17.0|0|0.0|0
0|2020-04-17|298.0|0|17.0|0|0.0|0
0|2020-04-18|302.0|0|17.0|0|0.0|0
0|2020-04-19|307.0|0|17.0|0|0.0|0
0|2020-04-20|313.0|0|17.0|0|0.0|0
0|2020-04-21|315.0|0|19.0|0|0.0|0
0|2020-04-22|317.0|0|19.0|0|0.0|0
0|2020-04-23|320.0|0|19.0|0|0.0|0
0|2020-04-24|330.0|0|19.0|0|0.0|0
0|2020-04-25|345.0|0|19.0|0|0.0|0
0|2020-04-26|347.0|0|19.0|0|0.0|0
0|2020-04-27|347.0|0|20.0|0|0.0|0
0|2020-04-28|350.0|0|20.0|0|0.0|0
0|2020-04-29|353.0|0|20.0|0|0.0|0
0|2020-04-30|357.0|0|21.0|0|0.0|0
0|2020-05-01|367.0|0|22.0|0|0.0|0
0|2020-05-02|366.0|0|22.0|0|0.0|0
0|2020-05-03|369.0|0|22.0|0|0.0|0
0|2020-05-04|372.0|0|22.0|0|0.0|0
0|2020-05-05|373.0|0|23.0|0|0.0|0
0|2020-05-06|379.0|0|24.0|0|0.0|0
0|2020-05-07|380.0|0|26.0|0|0.0|0
0|2020-05-08|381.0|0|27.0|0|0.0|0
0|2020-05-09|381.0|0|28.0|0|0.0|0
0|2020-05-10|382.0|0|28.0|0|0.0|0
0|2020-05-11|382.0|0|28.0|0|0.0|0
0|2020-05-12|385.0|0|29.0|0|0.0|0
0|2020-05-13|387.0|0|29.0|0|0.0|0
